country_name,growth,oil,rgdp60,tradeshare,yearsschool,rev_coups,assasinations
India,1.9151679277,0,765.9998168945,0.140501976,1.4500000477,0.1333333403,0.8666666746
Argentina,0.6176450849,0,4462.0014648438,0.1566229761,4.9899997711,0.9333333373,1.9333332777
Japan,4.3047590256,0,2953.9995117188,0.1577032208,6.7100000381,0,0.200000003
Brazil,2.9300966263,0,1783.9998779297,0.1604050845,2.8900001049,0.1000000015,0.1000000015
United States,1.7122648954,0,9895.00390625,0.1608150452,8.6599998474,0,0.4333333373
Bangladesh,0.7082630992,0,951.9998168945,0.2214583904,0.7900000215,0.3064814806,0.174999997
Spain,2.8803267479,0,3123.0014648438,0.2994059324,3.7999999523,0.0666666701,1.4333332777
Colombia,2.2270143032,0,1684.0003662109,0.3130728602,2.9700000286,0.1000000015,0.7666666508
Peru,0.0602059588,0,2019.0002441406,0.3246127069,3.0199999809,0.2666666806,0.5666666627
Haiti,-0.6579340696,0,923.9999389648,0.3247455657,0.6999999881,0.3740740716,0.200000003
Australia,1.9751473665,0,7782.0024414063,0.3294792473,9.029999733,0,0.0666666701
Italy,2.9329814911,0,4564.0004882813,0.3300216794,4.5599999428,0.0333333351,1.2000000477
Greece,3.224050045,0,2093,0.3378790021,4.3699998856,0.1666666716,0.1666666716
France,2.4312808514,0,5823.0004882813,0.3397062421,4.6500000954,0,0.3000000119
Zaire,-2.8119444847,0,488.9999084473,0.3523176312,0.5400000215,0.1481481493,0.055555556
Uruguay,1.025308609,0,3967.9997558594,0.3588567078,5.0700001717,0,0.1666666716
Mexico,1.973941803,0,2836.0002441406,0.3932509124,2.4100000858,0,0.1666666716
Pakistan,2.6981630325,0,638,0.4176039398,0.6299999952,0.2666666806,0.2666666806
Niger,-2.7514779568,0,531.9998779297,0.4258372486,0.200000003,0.1333333403,0
Bolivia,0.3550578058,0,1147.9997558594,0.4355793297,4.6799998283,0.9703703523,0.200000003
Germany,2.4536881447,0,6569.9985351563,0.4421429038,7.6399998665,0.0666666701,0.2333333343
Canada,2.3859884739,0,7257.9970703125,0.4443746209,8.0699996948,0,0.0666666701
United Kingdom,1.9622194767,0,6822.9990234375,0.4505466521,7.6700000763,0.2666666806,0.3333333433
New Zealand,1.1241317987,0,7960.0009765625,0.4557693005,9.5500001907,0,0
Philippines,1.1587406397,0,1133,0.468346566,3.7699999809,0.7333333492,1.0333333015
Finland,2.798494339,0,5291.001953125,0.4732548892,7.5100002289,0,0
Venezuela,-0.8835507631,0,6337.998046875,0.4846007824,2.5299999714,0.2666666806,0.1000000015
"Korea, Republic of",7.1568546295,0,904.0000610352,0.4889495969,3.2300000191,0.3333333433,0.1000000015
Guatemala,0.9292306304,0,1659.9997558594,0.5095902681,1.4199999571,0.5407407284,2.4666666985
Honduras,0.5977847576,0,1038.9998779297,0.5176645517,1.6900000572,0.2666666806,0.0666666701
El Salvador,-0.6075561047,0,1426.9998779297,0.5277733207,1.7000000477,0.6333333254,1.7333333492
Chile,1.4469953775,0,2885.0004882813,0.5346846581,4.9899997711,0.1666666716,0.4666666687
Thailand,4.8766951561,0,943,0.5433371067,3.4500000477,0.400000006,0.0333333351
Sweden,1.8881342411,0,7592.0024414063,0.5442435145,7.6700000763,0,0
Senegal,-0.4378240705,0,1047.0001220703,0.550812602,1.6200000048,0.0333333351,0.0666666701
