DATA.D,NOMINAL.N.38.5,CURS.N.38.5,NUM_CODE.N.11.0,CHAR_CODE.C.3
01.07.92,1.00000,125.26000,840,USD
03.07.92,1.00000,134.80000,840,USD
08.07.92,1.00000,130.50000,840,USD
10.07.92,1.00000,130.30000,840,USD
15.07.92,1.00000,130.20000,840,USD
17.07.92,1.00000,135.40000,840,USD
22.07.92,1.00000,151.10000,840,USD
24.07.92,1.00000,155.70000,840,USD
29.07.92,1.00000,161.10000,840,USD
31.07.92,1.00000,161.20000,840,USD
05.08.92,1.00000,161.40000,840,USD
07.08.92,1.00000,161.50000,840,USD
12.08.92,1.00000,161.70000,840,USD
14.08.92,1.00000,162.50000,840,USD
19.08.92,1.00000,162.50000,840,USD
21.08.92,1.00000,162.60000,840,USD
26.08.92,1.00000,168.10000,840,USD
28.08.92,1.00000,205.00000,840,USD
02.09.92,1.00000,210.50000,840,USD
04.09.92,1.00000,210.50000,840,USD
09.09.92,1.00000,207.90000,840,USD
11.09.92,1.00000,203.00000,840,USD
16.09.92,1.00000,204.00000,840,USD
18.09.92,1.00000,205.50000,840,USD
23.09.92,1.00000,241.00000,840,USD
25.09.92,1.00000,248.00000,840,USD
30.09.92,1.00000,254.00000,840,USD
02.10.92,1.00000,309.00000,840,USD
07.10.92,1.00000,342.00000,840,USD
09.10.92,1.00000,334.00000,840,USD
14.10.92,1.00000,334.00000,840,USD
16.10.92,1.00000,338.00000,840,USD
21.10.92,1.00000,368.00000,840,USD
23.10.92,1.00000,368.00000,840,USD
28.10.92,1.00000,393.00000,840,USD
30.10.92,1.00000,398.00000,840,USD
04.11.92,1.00000,396.00000,840,USD
06.11.92,1.00000,399.00000,840,USD
11.11.92,1.00000,403.00000,840,USD
13.11.92,1.00000,419.00000,840,USD
18.11.92,1.00000,448.00000,840,USD
20.11.92,1.00000,448.00000,840,USD
25.11.92,1.00000,450.00000,840,USD
27.11.92,1.00000,447.00000,840,USD
02.12.92,1.00000,417.00000,840,USD
04.12.92,1.00000,398.00000,840,USD
09.12.92,1.00000,419.00000,840,USD
11.12.92,1.00000,419.00000,840,USD
16.12.92,1.00000,418.00000,840,USD
18.12.92,1.00000,416.00000,840,USD
23.12.92,1.00000,415.00000,840,USD
25.12.92,1.00000,414.50000,840,USD
30.12.92,1.00000,414.50000,840,USD
06.01.93,1.00000,417.00000,840,USD
13.01.93,1.00000,423.00000,840,USD
15.01.93,1.00000,442.00000,840,USD
20.01.93,1.00000,474.50000,840,USD
22.01.93,1.00000,493.00000,840,USD
27.01.93,1.00000,568.00000,840,USD
29.01.93,1.00000,572.00000,840,USD
03.02.93,1.00000,572.00000,840,USD
05.02.93,1.00000,572.00000,840,USD
10.02.93,1.00000,561.00000,840,USD
12.02.93,1.00000,560.00000,840,USD
17.02.93,1.00000,559.00000,840,USD
19.02.93,1.00000,559.00000,840,USD
24.02.93,1.00000,576.00000,840,USD
26.02.93,1.00000,593.00000,840,USD
03.03.93,1.00000,649.00000,840,USD
05.03.93,1.00000,648.00000,840,USD
10.03.93,1.00000,650.00000,840,USD
